x,y,z,entry_nr
62.2636,24.6809,109.811,21
54.2624,29.8772,104.523,21
53.7621,30.7432,104.523,21
54.7627,29.0111,104.523,21
55.2624,31.6093,106.72,21
56.263,29.8772,106.72,21
64.7646,29.0111,110.692,21
65.2649,28.1451,110.692,21
64.2643,22.9488,110.692,21
60.7633,29.0111,107.971,21
61.2636,28.1451,107.971,21
61.764,27.279,107.971,21
62.2643,22.9488,107.971,21
60.7633,25.5469,107.971,21
61.2636,24.6809,107.971,21
47.2605,28.1451,100.794,21
48.2611,26.413,100.794,21
47.7608,27.279,100.794,21
48.2611,29.8772,100.794,21
47.2605,31.6093,100.794,21
47.7608,30.7432,100.794,21
51.2617,24.6809,102.935,21
50.2611,26.413,102.935,21
51.7621,30.7432,102.935,21
50.2617,24.6809,101.535,21
49.2611,26.413,101.535,21
48.7608,27.279,101.535,21
49.2611,29.8772,101.535,21
48.7608,30.7432,101.535,21
52.2617,24.6809,102.31,21
99.7716,15.1543,128.146,21
14.2541,36.8056,84.3097,21
13.7538,37.6716,84.3097,21
7.75251,42.8679,81.2944,21
7.25219,35.0735,81.2944,21
6.75188,35.9395,81.2944,21
7.75251,34.2074,81.2944,21
16.2541,36.8056,85.5317,21
16.7544,35.9395,85.5317,21
15.7538,37.6716,85.5317,21
17.2547,35.0735,85.5317,21
95.771,18.6185,125.747,21
95.2707,19.4846,125.747,21
9.75251,34.2074,83.3443,21
6.75251,42.8679,79.7989,21
93.771,18.6185,125.617,21
92.27,21.2167,125.617,21
93.2707,19.4846,125.617,21
92.7703,20.3506,125.617,21
8.75251,42.8679,82.3379,21
9.75315,41.1358,82.3379,21
8.25219,35.0735,82.3379,21
8.75251,34.2074,82.3379,21
18.7544,35.9395,87.5271,21
19.2547,35.0735,87.5271,21
20.2547,35.0735,88.1054,21
91.27,21.2167,124.834,21
92.2707,19.4846,124.834,21
91.7703,20.3506,124.834,21
90.7697,22.0827,124.834,21
87.7691,20.3506,121.726,21
15.2541,36.8056,85.0246,21
15.7544,35.9395,85.0246,21
14.7538,37.6716,85.0246,21
83.2687,21.2167,119.134,21
82.7684,22.0827,119.134,21
81.7678,23.8148,119.134,21
82.2681,22.9488,119.134,21
82.2681,21.2167,119.134,21
81.7678,22.0827,119.134,21
90.27,21.2167,122.642,21
90.7703,20.3506,122.642,21
89.7697,22.0827,122.642,21
85.2687,21.2167,120.927,21
85.7691,20.3506,120.927,21
84.7684,22.0827,120.927,21
17.2541,36.8056,86.7111,21
17.7544,35.9395,86.7111,21
18.2547,35.0735,86.7111,21
28.757,34.2074,91.2786,21
28.2566,35.0735,91.2786,21
52.2617,28.1451,82.236,26
53.2624,26.413,82.236,26
51.7614,29.0111,82.236,26
52.7621,27.279,82.236,26
51.7614,27.279,82.236,26
52.7621,25.5469,82.236,26
77.7671,34.2074,85.4572,26
77.2668,35.0735,85.4572,26
52.2617,24.6809,82.236,26
77.2668,36.8056,85.4572,26
51.7614,25.5469,82.236,26
78.2675,35.0735,85.4572,26
51.7614,23.8148,82.236,26
77.7671,35.9395,85.4572,26
30.2573,21.2167,80.5746,26
30.7576,20.3506,80.5746,26
29.757,20.3506,80.5746,26
30.2573,19.4846,80.5746,26
30.7576,18.6185,80.5746,26
29.757,15.1543,80.5746,26
29.2566,16.0204,80.5746,26
74.7665,32.4753,85.0374,26
74.2662,33.3414,85.0374,26
74.7665,35.9395,85.0374,26
75.7671,34.2074,85.0374,26
75.2668,35.0735,85.0374,26
75.2668,36.8056,85.0374,26
75.7671,35.9395,85.0374,26
36.2586,24.6809,83.1176,26
36.7589,23.8148,83.1176,26
35.7582,18.6185,83.1176,26
35.2579,19.4846,83.1176,26
35.2579,17.7525,83.1176,26
35.2579,22.9488,83.1176,26
36.7589,20.3506,83.1176,26
35.7582,22.0827,83.1176,26
36.2586,21.2167,83.1176,26
39.7595,27.279,81.5617,26
38.2586,24.6809,81.5617,26
39.7595,22.0827,81.5617,26
38.7589,23.8148,81.5617,26
39.2592,22.9488,81.5617,26
38.7589,20.3506,81.5617,26
38.2586,21.2167,81.5617,26
39.2592,21.2167,81.5617,26
38.2586,22.9488,81.5617,26
66.7652,32.4753,83.918,26
65.7646,34.2074,83.918,26
41.7595,27.279,81.4449,26
42.2598,26.413,81.4449,26
42.7601,25.5469,81.4449,26
41.7595,22.0827,81.4449,26
42.7601,20.3506,81.4449,26
41.2592,22.9488,81.4449,26
41.2592,21.2167,81.4449,26
42.7601,29.0111,81.4449,26
42.2598,28.1451,81.4449,26
42.7601,27.279,81.4449,26
45.7608,30.7432,82.1295,26
45.2605,24.6809,82.1295,26
44.2598,26.413,82.1295,26
44.7601,25.5469,82.1295,26
44.7601,20.3506,82.1295,26
45.2605,29.8772,82.1295,26
45.7608,29.0111,82.1295,26
44.7601,29.0111,82.1295,26
45.7608,27.279,82.1295,26
44.2598,28.1451,82.1295,26
45.7608,25.5469,82.1295,26
44.7601,27.279,82.1295,26
45.2605,26.413,82.1295,26
102.772,44.6,87.994,26
46.7608,30.7432,81.684,26
46.2605,24.6809,81.684,26
47.2611,22.9488,81.684,26
45.7601,25.5469,81.684,26
45.7601,20.3506,81.684,26
46.2605,29.8772,81.684,26
46.7608,29.0111,81.684,26
47.2611,28.1451,81.684,26
45.7601,29.0111,81.684,26
47.2611,26.413,81.684,26
46.7608,27.279,81.684,26
46.7608,25.5469,81.684,26
45.7601,27.279,81.684,26
46.2605,26.413,81.684,26
42.7595,27.279,81.5555,26
