plane,strip,ratio
2,197,0.124184
2,198,0.124184
2,199,0.124545
2,200,0.124795
2,201,0.124184
2,202,0.124831
2,203,0.124184
2,204,0.12433
2,205,0.18289
2,206,0.124267
2,207,0.124184
2,208,0.124184
2,209,0.124827
2,210,0.125132
2,211,0.927035
2,212,0.577333
2,213,0.128159
2,214,0.124184
2,215,0.307404
2,216,0.21066
2,217,0.350024
2,218,0.587287
2,219,0.124184
2,220,0.125059
2,221,0.304763
2,222,0.124184
2,223,0.914246
2,224,0.124184
2,225,0.124184
2,226,0.124446
